Ref,Val,Package,PosX,PosY,Rot,Side
"C14","0.1uF","C_0402_1005Metric",146.500000,-93.700000,180.000000,bottom
"C21","0.1uF","C_0402_1005Metric",144.600000,-93.700000,0.000000,bottom
